rank,predicted probability of recidivating within one year,DOC ID number
1,0.241539779,912167
2,0.232872445,899361
3,0.230868651,1076306
4,0.230851328,1096729
5,0.230157579,1168060
6,0.228557299,907032
7,0.22853823,122917
8,0.227056261,44379
9,0.223633765,1030837
10,0.223365341,837080
11,0.222525954,1020170
12,0.221907522,1081290
13,0.221563863,1038415
14,0.220789434,930859
15,0.219730622,862754
16,0.219599983,1050480
17,0.218329937,722922
18,0.217762564,1068739
19,0.217740999,945586
20,0.217241117,47838
21,0.216011059,1102401
22,0.215231122,1073643
23,0.214450372,1074289
24,0.213235158,632937
25,0.212510961,960234
26,0.212278699,76688
27,0.211803203,992370
28,0.209436743,1107707
29,0.209406474,1088974
30,0.206943724,1121168
31,0.206478617,1068259
32,0.206464949,1057300
33,0.206100759,1074936
34,0.205629589,707191
35,0.205068321,681330
36,0.204817572,597316
37,0.204760282,671546
38,0.204630564,571886
39,0.203822564,971147
40,0.203822427,1119778
41,0.203745973,466552
42,0.203611097,823585
43,0.203462898,1039196
44,0.203228,1078686
45,0.203010537,1107011
46,0.202928533,1179609
47,0.202480118,1110700
48,0.202457067,677536
49,0.202355946,534541
50,0.201822533,1091016
51,0.200809614,1125967
52,0.200446937,1032207
53,0.199514625,1025769
54,0.199418456,494017
55,0.199320175,1012063
56,0.199314023,569795
57,0.19920136,958742
58,0.198846959,1067316
59,0.198802006,1059002
60,0.198659071,1069193
61,0.198652366,369291
62,0.198344345,972763
63,0.198199552,884564
64,0.198174763,1155047
65,0.197970715,1092679
66,0.19759636,1044030
67,0.197510868,1059475
68,0.197302358,925972
69,0.19697103,882913
70,0.196957783,1053011
71,0.196794418,801678
72,0.196711243,1089418
73,0.196702546,906734
74,0.196481638,1142088
75,0.19638069,1104614
76,0.196361616,27944
77,0.196305455,155615
78,0.195828084,897067
79,0.195752486,1076180
80,0.195460588,1078364
81,0.195409592,99393
82,0.1953021,1040978
83,0.195264343,1047753
84,0.195190851,1102352
85,0.195123621,1155364
86,0.195045099,1110634
87,0.19484976,1077464
88,0.194766699,230621
89,0.194524659,1071060
90,0.194497852,1060418
91,0.194376054,898854
92,0.194242345,997681
93,0.194018447,1039842
94,0.193724492,324257
95,0.193636948,1046262
96,0.1934511,702909
97,0.193229653,1046055
98,0.193074316,912829
99,0.192992257,742480
100,0.192927689,1130344
101,0.192813542,191436
102,0.192571846,1097266
103,0.19256085,800238
104,0.192541568,1147393
105,0.192218938,703375
106,0.19182915,1128636
107,0.191820166,1108482
108,0.191784535,1068571
109,0.19164112,1126988
110,0.191589715,1071947
111,0.191485757,860241
112,0.191459952,765000
113,0.191397985,566662
114,0.191119737,1011194
115,0.19090045,1041951
116,0.190755444,875639
117,0.190658531,1056164
118,0.190624321,567303
119,0.190621066,639925
120,0.190543946,1088977
121,0.190385529,809697
122,0.190265822,1091359
123,0.190175816,1078403
124,0.190152801,1111553
125,0.189761039,1107663
126,0.189512249,971232
127,0.189390778,913756
128,0.189228198,1132505
129,0.189135074,416394
130,0.189130412,857037
131,0.188751435,1069684
132,0.188665577,1002240
133,0.188428009,1055745
134,0.18836955,1124613
135,0.188320976,1052479
136,0.188226015,1003354
137,0.188142147,975106
138,0.188115276,175645
139,0.188028848,1066661
140,0.18799951,1044734
141,0.187992232,565286
142,0.187990926,1164741
143,0.187939688,630232
144,0.187833483,1130555
145,0.187727313,995447
146,0.187578941,1118962
147,0.187564107,953402
148,0.187477307,965560
149,0.187469811,891049
150,0.187430073,181516
151,0.187234748,1070489
152,0.187230374,841144
153,0.187187024,1126988
154,0.187148924,1030054
155,0.187058338,1112355
156,0.186949378,893936
157,0.186943295,930972
158,0.186867887,1119289
159,0.186861063,1110146
160,0.186750463,1004685
161,0.18664722,395223
162,0.186533842,1066730
163,0.186517455,1004481
164,0.186432998,905640
165,0.186408094,1080063
166,0.186402732,1112780
167,0.186207753,1091013
168,0.186035489,4009
169,0.186028031,1054095
170,0.186012018,1052709
171,0.185978504,740999
172,0.185976122,1137441
173,0.185969733,1081959
174,0.185911923,1161074
175,0.185896103,738570
176,0.185878977,1095476
177,0.185659199,1047574
178,0.185624967,1078883
179,0.185502473,967517
180,0.185463948,907080
181,0.185422,1115194
182,0.185389632,915781
183,0.185389181,823947
184,0.185285903,910122
185,0.185278579,962833
186,0.185277791,1035152
187,0.185214242,1144367
188,0.185201711,1126256
189,0.185172611,1007075
190,0.185155871,127125
191,0.185148081,947518
192,0.185131942,1040703
193,0.185131868,1017743
194,0.185076195,827117
195,0.185058993,897161
196,0.184988114,747179
197,0.184970675,1090061
198,0.184965172,1096440
199,0.184562653,12073
200,0.184524199,1083547
201,0.18450945,845816
202,0.184489258,1094800
203,0.184482761,1101322
204,0.184360025,1124105
205,0.184349187,930229
206,0.184295042,1061282
207,0.184197732,831702
208,0.184176506,1081815
209,0.184155568,954517
210,0.184125488,813204
211,0.184041966,1059810
212,0.184035039,1056771
213,0.183935643,891604
214,0.183795054,833072
215,0.183663089,1046402
216,0.183586363,947252
217,0.18358228,959124
218,0.183500437,1117099
219,0.183450887,1040384
220,0.18344395,4979
221,0.18335982,1089223
222,0.183322924,463668
223,0.183311523,192315
224,0.183207456,580083
225,0.183170055,117130
226,0.183128171,909049
227,0.18296746,874305
228,0.182956708,505657
229,0.182951011,1090365
230,0.182915567,875633
231,0.18287662,646023
232,0.182828174,1088216
233,0.182819639,1129540
234,0.182750254,938993
235,0.182638576,1132424
236,0.182619427,999822
237,0.182573622,923538
238,0.182510348,60729
239,0.182497572,1132808
240,0.182433251,1106545
241,0.18237162,1151388
242,0.182282649,810114
243,0.182279136,1030921
244,0.182201335,1041324
245,0.182115779,891130
246,0.18211551,140038
247,0.182071407,1120847
248,0.1820541,972812
249,0.182053773,172983
250,0.181991329,1046885
251,0.181863795,1010094
252,0.181849592,1078734
253,0.181643857,13706
254,0.181616874,100221
255,0.181596375,1163382
256,0.181575504,1016994
257,0.181537439,645584
258,0.181478264,1111934
259,0.181401511,875514
260,0.181388646,847424
261,0.181308652,712059
262,0.181102371,1161026
263,0.181020233,596224
264,0.180998904,814032
265,0.180898752,893509
266,0.180878817,1028696
267,0.180798142,890020
268,0.180736864,1142912
269,0.180640918,1085761
270,0.180556078,662519
271,0.180544728,1120180
272,0.180439641,430383
273,0.180422105,918177
274,0.180368196,1132592
275,0.180288659,1123726
276,0.180285702,979829
277,0.18028182,1143872
278,0.17991497,320127
279,0.179773087,1127660
280,0.179693011,952135
281,0.17960927,901909
282,0.179541665,1060388
283,0.179469067,901880
284,0.179406626,448835
285,0.179376399,655930
286,0.179289507,1055214
287,0.179261618,95079
288,0.179213548,789080
289,0.179165683,1138734
290,0.179134813,1088656
291,0.179082805,1107896
